Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2018-056T23:10:13.5257Z [Feb 25] ( 25.433,  90.362)       1168           287      18      73     6542
2018-056T23:10:15.3839Z [Feb 25] ( 25.423,  90.514)       2148           476      22     118     6542
2018-056T23:10:15.6688Z [Feb 25] ( 24.238,  91.666)        339           343       6      16     6542
2018-056T23:10:15.9392Z [Feb 25] ( 23.876,  90.535)       1206           322      24      73     6542
2018-056T23:10:16.7823Z [Feb 25] ( 25.294,  91.968)        196           209       6      14     6542
2018-056T23:10:16.9808Z [Feb 25] ( 24.391,  92.284)         32             0       1       3     6542
2018-056T23:10:17.7561Z [Feb 25] ( 23.256,  89.684)        130           227       5      12     6542
2018-056T23:10:21.8037Z [Feb 25] ( 25.490,  90.427)         15             0       1       1     6542
2018-056T23:10:22.8631Z [Feb 25] ( 24.026,  90.721)       1880           421      26      83     6542
2018-056T23:10:23.0189Z [Feb 25] ( 23.886,  91.253)       1282           571      36      80     6542
2018-056T23:10:24.5143Z [Feb 25] ( 23.979,  90.570)        152             3       2       9     6542
2018-056T23:10:24.5213Z [Feb 25] ( 24.010,  90.656)         87             3       3       6     6542
2018-056T23:10:24.5269Z [Feb 25] ( 23.944,  90.648)         12             0       1       1     6542
2018-056T23:10:25.0404Z [Feb 25] ( 23.380,  91.066)        433           289      11      22     6542
2018-056T23:10:25.0921Z [Feb 25] ( 23.395,  90.608)       1336           234      17      60     6542
2018-056T23:10:25.8071Z [Feb 25] ( 23.884,  90.101)        982           221      19      60     6542
2018-056T23:10:26.9976Z [Feb 25] ( 24.694,  92.990)        646             0       1      27     6542
2018-056T23:10:26.9996Z [Feb 25] ( 24.756,  92.999)        795           431       7      50     6542
2018-056T23:10:28.0950Z [Feb 25] ( 24.059,  90.564)       1494           422      27      69     6542
2018-056T23:10:28.4352Z [Feb 25] ( 24.452,  92.433)         34             0       1       3     6542
2018-056T23:10:28.5875Z [Feb 25] ( 25.244,  91.713)         61            50       2       5     6542
2018-056T23:10:28.8202Z [Feb 25] ( 24.289,  90.459)       5489           545      45     222     6542
2018-056T23:10:30.3704Z [Feb 25] ( 25.435,  90.531)         64             0       1       4     6542
2018-056T23:10:32.1578Z [Feb 25] ( 24.697,  93.045)        161           278       4      13     6542
2018-056T23:10:32.4889Z [Feb 25] ( 24.376,  92.331)       1940           504      71     126     6542
2018-056T23:10:33.8566Z [Feb 25] ( 23.866,  91.187)         22            21       2       2     6542
2018-056T23:10:33.9496Z [Feb 25] ( 26.603,  88.401)        210           157       9      15     6542
2018-056T23:10:33.9551Z [Feb 25] ( 25.016,  92.265)        552           282      22      43     6542
2018-056T23:10:34.1536Z [Feb 25] ( 24.082,  90.201)        716           208      10      32     6542
2018-056T23:10:36.3506Z [Feb 25] ( 25.003,  92.894)        313           333       7      22     6542
2018-056T23:10:36.5797Z [Feb 25] ( 25.437,  90.407)        386            83       6      25     6542
2018-056T23:10:37.2817Z [Feb 25] ( 24.379,  91.856)        217            19       3      14     6542
2018-056T23:10:38.6640Z [Feb 25] ( 25.171,  92.005)        159             9       5      10     6542
2018-056T23:10:38.7088Z [Feb 25] ( 25.048,  92.868)       2653           363      49     130     6542
2018-056T23:10:38.7158Z [Feb 25] ( 23.990,  91.278)        244           137       4      17     6542
2018-056T23:10:38.7480Z [Feb 25] ( 25.206,  92.075)        298            78       6      14     6542
2018-056T23:10:39.0685Z [Feb 25] ( 25.131,  92.163)        627           324       9      30     6542
2018-056T23:10:39.8614Z [Feb 25] ( 25.244,  92.176)        442           275      14      33     6542
2018-056T23:10:40.8267Z [Feb 25] ( 26.637,  88.413)         85           114       2       6     6542
2018-056T23:10:41.8936Z [Feb 25] ( 24.299,  91.887)        360            20       5      25     6542
2018-056T23:10:42.5418Z [Feb 25] ( 23.951,  91.352)        133            46       3      11     6542
2018-056T23:10:42.7674Z [Feb 25] ( 25.115,  92.171)         68           166       2       6     6542
2018-056T23:10:42.9287Z [Feb 25] ( 25.227,  91.891)       7037           225      44     209     6542
2018-056T23:10:43.1433Z [Feb 25] ( 25.247,  91.741)        350            14       6      19     6542
2018-056T23:10:43.3925Z [Feb 25] ( 24.440,  92.593)       2079           597      26     117     6542
2018-056T23:10:43.5749Z [Feb 25] ( 24.476,  92.644)       4850           651      36     179     6542
2018-056T23:10:51.3748Z [Feb 25] ( 26.634,  91.590)       2155           549      30     107     6542
2018-056T23:10:53.5369Z [Feb 25] ( 25.092,  92.865)        165           440      11      14     6542
2018-056T23:10:53.6460Z [Feb 25] ( 25.109,  92.929)         33            43       3       3     6542
2018-056T23:10:56.4363Z [Feb 25] ( 25.258,  91.931)        429           264       7      18     6542
2018-056T23:10:56.8534Z [Feb 25] ( 26.672,  91.664)        467           356      12      28     6542
2018-056T23:10:59.4960Z [Feb 25] ( 25.019,  92.272)        331            80       9      26     6542
2018-056T23:11:08.8404Z [Feb 25] ( 24.992,  92.912)         11             0       1       1     6542
2018-056T23:11:10.5841Z [Feb 25] ( 25.035,  92.857)        177           479       5       9     6542
2018-069T18:16:14.5465Z [Mar 10] ( 26.345,  92.931)        128           143       8       9     6741
2018-069T18:17:32.7015Z [Mar 10] ( 26.341,  93.088)        260           136       8      18     6741
2018-072T02:18:19.8960Z [Mar 13] ( 25.182,  92.509)        127            10       3       6     6777
2018-072T02:18:21.8618Z [Mar 13] ( 25.248,  92.415)       4656           402      24     160     6777
2018-072T02:18:26.2863Z [Mar 13] ( 25.142,  92.620)       1192             8       6      45     6777
2018-072T02:18:28.7907Z [Mar 13] ( 25.042,  92.524)        338           338      11      17     6777
2018-072T02:18:32.3554Z [Mar 13] ( 24.295,  92.950)        231           392       7      16     6777
2018-072T02:18:39.9738Z [Mar 13] ( 24.430,  92.690)         23            14       2       2     6777
2018-072T02:18:40.2336Z [Mar 13] ( 24.360,  92.736)        102           232       2       6     6777
2018-072T02:18:41.1070Z [Mar 13] ( 25.032,  92.944)       1270           254      14      48     6777
2018-072T02:18:45.6978Z [Mar 13] ( 24.789,  92.824)        901           390      12      46     6777
2018-072T02:18:46.8922Z [Mar 13] ( 24.477,  92.828)       1704           363      30      74     6777
2018-072T02:18:48.4584Z [Mar 13] ( 25.059,  92.541)         85            25       4       6     6777
2018-072T02:18:48.5765Z [Mar 13] ( 25.030,  92.779)        195           234       4      13     6777
2018-072T02:18:52.1825Z [Mar 13] ( 24.476,  92.513)       1126           109      19      58     6777
2018-072T02:18:59.6798Z [Mar 13] ( 24.328,  92.913)       1126           589      20      55     6777
2018-072T02:19:00.5626Z [Mar 13] ( 24.920,  92.815)        524           138       5      25     6777
2018-072T02:19:00.8224Z [Mar 13] ( 25.198,  93.025)        780             5       4      31     6777
2018-072T02:19:05.8032Z [Mar 13] ( 25.078,  92.545)        428           268       6      19     6777
2018-072T02:19:06.4443Z [Mar 13] ( 24.437,  92.667)       1637           293      15      67     6777
2018-072T02:19:10.1036Z [Mar 13] ( 24.368,  92.572)        652           315      10      36     6777
2018-072T02:19:11.5542Z [Mar 13] ( 24.828,  93.404)      54874           507      43     956     6777
